state,year,old_block,plot,term.trmt,herb.trmt,cc.bm.kgha,yield.kgha,weed.bm.term.kgha,weed.bm.harv.kgha,density.harv.allspp.m2,soybean.pop.ha,density.term.allspp.m2,rye.pop.ha,region,DPP,soybean.plant.date,rye.plant.date,termination.date,plotID
AR,2017,AR1,105,Early,Sequential,199.3,1954.550703,7.1,1395.6,38,NA,NA,NA,South Central,NA,NA,NA,NA,A71EQ
AR,2017,AR1,108,Late,Sequential,3533.5,2880.98514,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A71LQ
AR,2017,AR1,102,Mid,Sequential,3615.7,3453.194645,0,30.2,2,NA,NA,NA,South Central,NA,NA,NA,NA,A71MQ
AR,2017,AR1,111,No cover,Sequential,0,3129.407803,NA,49.1,9,NA,NA,NA,South Central,NA,NA,NA,NA,A71NQ
AR,2017,AR1,107,Early,Standard,246.1,1646.049364,8.9,613.4,19,NA,NA,NA,South Central,NA,NA,NA,NA,A71ER
AR,2017,AR1,101,Late,Standard,4515,1482.560934,0,70.3,13,NA,NA,NA,South Central,NA,NA,NA,NA,A71LR
AR,2017,AR1,104,Mid,Standard,2618.3,1742.547413,0,2716.2,50,NA,NA,NA,South Central,NA,NA,NA,NA,A71MR
AR,2017,AR1,110,No cover,Standard,0,2867.693397,NA,1921.9,21,NA,NA,NA,South Central,NA,NA,NA,NA,A71NR
AR,2017,AR1,103,Early,Weedy,412.3,1916.226179,0,3656.8,22,NA,NA,NA,South Central,NA,NA,NA,NA,A71EW
AR,2017,AR1,106,Late,Weedy,3073.8,NA,0,344.6,7,NA,NA,NA,South Central,NA,NA,NA,NA,A71LW
AR,2017,AR1,109,Mid,Weedy,3138.3,4018.00508,0,2073.1,10,NA,NA,NA,South Central,NA,NA,NA,NA,A71MW
AR,2017,AR1,112,No cover,Weedy,0,1871.388702,NA,5464.8,35,NA,NA,NA,South Central,NA,NA,NA,NA,A71NW
AR,2017,AR2,203,Early,Sequential,352.1,3794.881033,82.9,12.1,1,NA,NA,NA,South Central,NA,NA,NA,NA,A72EQ
AR,2017,AR2,210,Late,Sequential,3347.5,2897.599817,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A72LQ
AR,2017,AR2,209,Mid,Sequential,3503.2,3764.487249,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A72MQ
AR,2017,AR2,208,No cover,Sequential,0,3250.052517,NA,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A72NQ
AR,2017,AR2,211,Early,Standard,247.7,2673.412431,119.4,2098.1,14,NA,NA,NA,South Central,NA,NA,NA,NA,A72ER
AR,2017,AR2,205,Late,Standard,2834.3,1172.951951,0,1557.4,18,NA,NA,NA,South Central,NA,NA,NA,NA,A72LR
AR,2017,AR2,207,Mid,Standard,2418.6,3852.877335,0,67.5,3,NA,NA,NA,South Central,NA,NA,NA,NA,A72MR
AR,2017,AR2,202,No cover,Standard,0,3303.396709,NA,38.7,3,NA,NA,NA,South Central,NA,NA,NA,NA,A72NR
AR,2017,AR2,201,Early,Weedy,359,998.741515,41.4,4477.3,25,NA,NA,NA,South Central,NA,NA,NA,NA,A72EW
AR,2017,AR2,204,Late,Weedy,3352.2,2261.146891,0,3199.3,17,NA,NA,NA,South Central,NA,NA,NA,NA,A72LW
AR,2017,AR2,206,Mid,Weedy,2675.3,3100.697639,0,1670.9,15,NA,NA,NA,South Central,NA,NA,NA,NA,A72MW
AR,2017,AR2,212,No cover,Weedy,0,2418.742649,NA,6107.1,15,NA,NA,NA,South Central,NA,NA,NA,NA,A72NW
AR,2017,AR3,306,Early,Sequential,412.3,3514.735412,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A73EQ
AR,2017,AR3,310,Late,Sequential,3207.7,3131.711705,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A73LQ
AR,2017,AR3,304,Mid,Sequential,2769.8,3356.962431,0,1678.5,1,NA,NA,NA,South Central,NA,NA,NA,NA,A73MQ
AR,2017,AR3,309,No cover,Sequential,0,2849.129264,NA,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A73NQ
AR,2017,AR3,307,Early,Standard,258.2,3645.127403,26.9,48.7,3,NA,NA,NA,South Central,NA,NA,NA,NA,A73ER
AR,2017,AR3,302,Late,Standard,2580.2,2052.776678,0,416.2,16,NA,NA,NA,South Central,NA,NA,NA,NA,A73LR
AR,2017,AR3,301,Mid,Standard,1806.8,2141.21107,0,729.3,18,NA,NA,NA,South Central,NA,NA,NA,NA,A73MR
AR,2017,AR3,303,No cover,Standard,0,3961.116423,NA,153.3,3,NA,NA,NA,South Central,NA,NA,NA,NA,A73NR
AR,2017,AR3,312,Early,Weedy,367.9,2435.756079,0,2882,5,NA,NA,NA,South Central,NA,NA,NA,NA,A73EW
