state,year,block,plot,term_trmt,herb_trmt,date,wap,species_code,seq_ct_1,seq_ct_2,seq_quad_area_1,seq_quad_area_2,seq_qt_3,seq_quad_3,latin_name,Count_per1m_1,Count_per1m_2,Count_per1m_3,plotID
AR,2018,1,101,Late,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81LR
AR,2018,1,102,Mid,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81MQ
AR,2018,1,103,Early,Weedy,6/7/2018,2,AMAPA,4,1,1,1,NA,NA,Amaranthus palmeri,4,1,NA,A81EW
AR,2018,1,104,Mid,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81MR
AR,2018,1,105,Early,Sequential,6/7/2018,2,AMAPA,2,1,1,1,NA,NA,Amaranthus palmeri,2,1,NA,A81EQ
AR,2018,1,106,Late,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81LW
AR,2018,1,107,Early,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81ER
AR,2018,1,108,Late,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81LQ
AR,2018,1,109,Mid,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81MW
AR,2018,1,110,No cover,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81NR
AR,2018,1,111,No cover,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81NQ
AR,2018,1,112,No cover,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A81NW
AR,2018,2,201,No cover,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82NR
AR,2018,2,202,Early,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82EQ
AR,2018,2,203,Late,Standard,6/7/2018,2,AMAPA,4,1,1,1,NA,NA,Amaranthus palmeri,4,1,NA,A82LR
AR,2018,2,204,Late,Sequential,6/7/2018,2,AMAPA,11,1,1,1,NA,NA,Amaranthus palmeri,11,1,NA,A82LQ
AR,2018,2,205,No cover,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82NQ
AR,2018,2,206,Mid,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82MQ
AR,2018,2,207,Early,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82EW
AR,2018,2,208,Mid,Weedy,6/7/2018,2,AMAPA,1,1,1,1,NA,NA,Amaranthus palmeri,1,1,NA,A82MW
AR,2018,2,209,Early,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82ER
AR,2018,2,210,No cover,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82NW
AR,2018,2,211,Mid,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82MR
AR,2018,2,212,Late,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A82LW
AR,2018,3,301,No cover,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A83NQ
AR,2018,3,302,Mid,Standard,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A83MR
AR,2018,3,303,Mid,Weedy,6/7/2018,2,AMAPA,1,1,1,1,NA,NA,Amaranthus palmeri,1,1,NA,A83MW
AR,2018,3,304,Late,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A83LW
AR,2018,3,305,Late,Sequential,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A83LQ
AR,2018,3,306,Early,Weedy,6/7/2018,2,AMAPA,0,1,1,1,NA,NA,Amaranthus palmeri,0,1,NA,A83EW
